,ndc,rxcui,ingredient_rxcui
44889,23710006508,1243659,
44890,23710010070,1442590,3743
44891,23710021045,1987784,
44892,23710022570,745768,36345
44893,23710052020,2058303,
44894,23710063501,1247825,11002
44895,23710063501,1247825,9525
44896,23710090001,858772,5489
44897,23710090001,858772,5640
44898,23710090101,858784,
44899,23710090201,859331,
44900,23731611105,1140779,
44901,24090041003,705133,4917
44902,24090041004,705133,4917
44903,24090041007,705133,4917
44904,24090041008,705133,4917
44905,24090045085,856576,8787
44906,24090045088,856576,8787
44907,24090045185,856471,8787
44908,24090045188,856471,8787
44909,24090047088,856537,8787
44910,24090047188,856571,8787
44911,24090047388,856462,8787
44912,24090047988,856483,8787
44913,24090047999,,
44914,24090049084,966434,10582
44915,24090049184,966423,10582
44916,24090049284,966426,10582
44917,24090049384,905460,10582
44918,24090049484,905464,10582
44919,24090049584,966415,10582
44920,24090049684,905453,10582
44921,24090049784,966417,10582
44922,24090049884,905457,10582
44923,24090049984,966420,10582
44924,24090068185,1537116,161
44925,24090068185,1537116,7804
44926,24090068188,1537116,161
44927,24090068188,1537116,7804
44928,24090068285,1537122,161
44929,24090068285,1537122,7804
44930,24090068288,1537122,161
44931,24090068288,1537122,7804
44932,24090068379,1537120,161
44933,24090068379,1537120,7804
44934,24090068385,1537120,161
44935,24090068385,1537120,7804
44936,24090068388,1537120,161
44937,24090068388,1537120,7804
44938,24090072085,1112986,
44939,24090072185,1112989,
44940,24090072285,1249085,
44941,24090080184,749787,4124
44942,24090080184,749787,748794
44943,24090080184,749787,7518
44944,24090096184,749786,4124
44945,24090096184,749786,748794
44946,24090096184,749786,7518
44947,24108010101,668691,
44948,24208000201,582692,5464
44949,24208000401,1992300,10600
44950,24208000403,1992300,10600
44951,24208009901,1020510,
44952,24208009903,1020510,
44953,24208027507,207232,
44954,24208027509,207232,
44955,24208027615,750137,9863
44956,24208027715,750139,9863
44957,24208027730,750139,9863
44958,24208027805,1547983,
44959,24208028805,310377,4491
44960,24208028810,310377,4491
44961,24208029005,313415,10627
44962,24208029505,309683,3264
44963,24208029505,309683,10627
44964,24208029510,309683,3264
44965,24208029510,309683,10627
44966,24208029525,309683,3264
44967,24208029525,309683,10627
44968,24208029905,213263,52177
44969,24208029910,213263,52177
44970,24208029915,213263,52177
44971,24208029925,213263,52177
44972,24208030010,831111,
44973,24208031425,1243585,4502
44974,24208031510,244967,8536
44975,24208031510,244967,10829
44976,24208031705,1012021,8638
44977,24208031705,1012021,10169
44978,24208031710,1012021,8638
44979,24208031710,1012021,10169
44980,24208031910,313786,5492
44981,24208031910,313786,168
44982,24208032405,313409,
44983,24208032410,313409,
44984,24208032415,313409,
44985,24208033005,198283,
44986,24208033010,198283,
44987,24208033015,198283,
44988,24208034205,849506,3251
44989,24208034425,1797863,25120
44990,24208034720,245314,435
44991,24208035305,213262,52177
44992,24208035310,213262,52177
44993,24208035805,545259,10627
44994,24208035805,545259,52177
44995,24208035810,545259,10627
44996,24208035810,545259,52177
44997,24208035825,545259,10627
44998,24208035825,545259,52177
44999,24208036705,978573,2116
45000,24208036710,978573,2116
45001,24208036715,978573,2116
45002,24208038555,1299626,9863
45003,24208038556,1299626,9863
45004,24208038760,891719,11256
45005,24208038760,891719,11359
45006,24208038760,891719,11423
45007,24208038760,891719,1151
45008,24208038760,891719,19143
45009,24208038760,891719,21842
45010,24208038760,891719,36717
45011,24208038762,891719,11256
45012,24208038762,891719,11359
45013,24208038762,891719,11423
45014,24208038762,891719,1151
45015,24208038762,891719,19143
45016,24208038762,891719,21842
45017,24208038762,891719,36717
45018,24208038819,891719,11256
45019,24208038819,891719,11359
45020,24208038819,891719,11423
45021,24208038819,891719,1151
45022,24208038819,891719,19143
45023,24208038819,891719,21842
45024,24208038819,891719,36717
45025,24208039830,1797833,7213
45026,24208039915,1797844,7213
45027,24208040205,311665,10824
45028,24208040210,311665,10824
45029,24208040319,891709,11256
45030,24208040319,891709,11359
45031,24208040319,891709,11423
45032,24208040319,891709,1151
45033,24208040319,891709,21842
45034,24208041005,242446,7623
45035,24208041010,242446,7623
45036,24208041105,861200,134615
45037,24208041110,861200,134615
45038,24208041115,861200,134615
45039,24208041321,312055,7597
45040,24208041329,312055,7597
45041,24208041815,1006120,10169
45042,24208041905,310467,1596450
45043,24208041915,310467,1596450
45044,24208042015,244309,
45045,24208042160,318202,4053
45046,24208043262,891815,11256
45047,24208043262,891815,11423
45048,24208043262,891815,1151
45049,24208043262,891815,19143
45050,24208043262,891815,21842
45051,24208043272,891815,11256
45052,24208043272,891815,11423
45053,24208043272,891815,1151
45054,24208043272,891815,19143
45055,24208043272,891815,21842
45056,24208043405,312075,7623
45057,24208043410,312075,7623
45058,24208043901,578018,19737
45059,24208044335,1099503,52177
45060,24208044405,309307,2551
45061,24208044410,309307,2551
45062,24208044425,309307,2551
45063,24208044605,850309,819911
45064,24208045705,854801,3355
45065,24208045725,854801,3355
45066,24208046325,314072,43611
45067,24208046530,891190,
45068,24208046535,,
45069,24208046540,,
45070,24208046563,1191310,25126
45071,24208046567,1191310,25126
45072,24208048510,310015,60207
45073,24208048610,1923432,60207
45074,24208048610,1923432,10600
45075,24208050307,1312627,52177
45076,24208050402,1988399,1988390
45077,24208050405,1988399,1988390
