,control,samp_size,OR,p_value,ci95_lower,ci95_upper
202,t2dControlEmerge,2000,1.1584060827935794,0.1138633119523886,0.9701493125593738,1.3831939427066697
203,t2dControlEmerge,2000,1.2083207472881847,0.0331437663489013,1.018574959360389,1.4334134320795615
204,t2dControlEmerge,2000,1.1618848376170552,0.09571576424202033,0.9781635229749702,1.3801131857571378
205,t2dControlEmerge,2000,1.2070008533504566,0.03555781315533807,1.0162069554077346,1.4336165012806816
206,t2dControlEmerge,2000,1.1633306383778002,0.09001731180190181,0.9808128418127864,1.379812861837328
207,t2dControlEmerge,2000,1.246372844237613,0.016778318494292017,1.0436971842168077,1.4884061108382367
208,t2dControlEmerge,2000,1.5072437760949406,4.052722701940769e-06,1.2666236574063006,1.7935744270156204
209,t2dControlEmerge,2000,1.0299801194333007,0.7636112564316019,0.8703169205924404,1.218934185153717
210,t2dControlEmerge,2000,1.4142273279575832,9.664023398607646e-05,1.1894903825212069,1.6814250577653485
211,t2dControlEmerge,2000,1.0890861038404596,0.3674094484494064,0.9126298933544116,1.2996599719288144
212,t2dControlEmerge,2000,1.2055849109423662,0.04033218105840936,1.011896572737416,1.4363473665693216
213,t2dControlEmerge,2000,1.2366538013054684,0.01772656057772224,1.0405603811699533,1.4697009918480528
214,t2dControlEmerge,2000,1.2154243860404998,0.03422258028110382,1.0181920779109686,1.45086223928674
215,t2dControlEmerge,2000,1.1197604790419162,0.2080921809451723,0.9444094091692639,1.327669460141364
216,t2dControlEmerge,2000,1.255371609721733,0.01167205701236107,1.0548511167931356,1.4940097738972111
217,t2dControlEmerge,2000,1.1322852924358415,0.17943400727194508,0.9499215220339668,1.349658844155207
218,t2dControlEmerge,2000,1.2366538013054684,0.01772656057772224,1.0405603811699533,1.4697009918480528
219,t2dControlEmerge,2000,1.2560052763121354,0.010860741008737615,1.05674807898389,1.4928338035313076
220,t2dControlEmerge,2000,1.5074103046576037,3.2632716856648347e-06,1.2688064517861497,1.7908845146469283
221,t2dControlEmerge,2000,1.0212064790034652,0.8546298443104425,0.8533479361248706,1.2220837815515044
222,t2dControlEmerge,2000,1.2730064839039927,0.005481608917405659,1.0760260018491459,1.5060467918774305
223,t2dControlEmerge,2000,1.2921222902387555,0.003931103560794955,1.0879389413313612,1.5346265764590645
224,t2dControlEmerge,2000,1.2433806858211536,0.01443822707176668,1.0471483352950306,1.4763863702629105
225,t2dControlEmerge,2000,1.0978922573342715,0.31043929041910057,0.9234929523356852,1.30522642935817
226,t2dControlEmerge,2000,1.2882841328413284,0.004765964630616744,1.0829698101817546,1.5325228749010005
227,t2dControlEmerge,2000,1.335345405767941,0.0009281105543966037,1.1271752898193064,1.581961003591018
228,t2dControlEmerge,2000,1.1078865033984249,0.2575340495954101,0.9339051686526199,1.3142795924164559
229,t2dControlEmerge,2000,1.3093010643346215,0.002000020814139923,1.1056961782905006,1.5503981208637025
230,t2dControlEmerge,2000,1.210126412049489,0.03245976806567573,1.019404480933302,1.4365307986473173
231,t2dControlEmerge,2000,1.1656592513444284,0.08792397338163757,0.9816650555338219,1.384139613186057
232,t2dControlEmerge,2000,1.3377800196362786,0.0011319526735588357,1.1248003234111903,1.5910871855997881
233,t2dControlEmerge,2000,1.5276728428374409,1.8220296797912921e-06,1.2842010359684908,1.8173044946837207
