,control,samp_size,OR,p_value,ci95_lower,ci95_upper
2901,t2dControlEmergeNoLab,5000,2.703746274591909,1.063993221683487e-52,2.3672864796985498,3.08802672598396
2902,t2dControlEmergeNoLab,5000,2.94750864956005,8.111382670019166e-61,2.574765454499357,3.374213066300675
2903,t2dControlEmergeNoLab,5000,2.887360768625747,2.229150306085564e-56,2.5158234026163786,3.3137668564212315
2904,t2dControlEmergeNoLab,5000,2.9728260094980694,6.048925449627201e-62,2.5971792458503438,3.402804984241529
2905,t2dControlEmergeNoLab,5000,2.947515966207555,6.801683266960645e-60,2.5719178777417,3.3779656987636546
2906,t2dControlEmergeNoLab,5000,3.0024555439841425,2.867346371674448e-63,2.6234107429618336,3.4362668208880893
2907,t2dControlEmergeNoLab,5000,2.879449957750268,6.316033065887859e-57,2.511714349776604,3.301025078717837
2908,t2dControlEmergeNoLab,5000,3.1269683503892876,7.381333864856033e-65,2.7216418627466523,3.5926589747809556
2909,t2dControlEmergeNoLab,5000,2.6523786567174605,1.5877499272984402e-50,2.322070208357511,3.0296726228560225
2910,t2dControlEmergeNoLab,5000,2.619657106739354,1.1372065708906754e-47,2.2882643040351702,2.999043137101058
2911,t2dControlEmergeNoLab,5000,2.5865875932247615,9.773699110384578e-49,2.267378123716439,2.950736494916011
2912,t2dControlEmergeNoLab,5000,2.377967898699292,1.1522228498175522e-39,2.0822307929108526,2.7157082425715635
2913,t2dControlEmergeNoLab,5000,2.9777630309621683,9.526193861729853e-61,2.59719998841622,3.414089291588272
2914,t2dControlEmergeNoLab,5000,3.0662356205091297,1.8283738266298597e-64,2.674909276407795,3.514811124026209
2915,t2dControlEmergeNoLab,5000,2.6152528427101176,1.7405271576095516e-50,2.2943243468339265,2.9810725936555706
2916,t2dControlEmergeNoLab,5000,2.7927181896217785,5.468664223820717e-57,2.4470930735216467,3.187159070913598
2917,t2dControlEmergeNoLab,5000,2.9163066332991985,1.1115385421194565e-58,2.544790668156358,3.342060502597826
2918,t2dControlEmergeNoLab,5000,2.5844273426889997,4.789304940017363e-46,2.2566320863976332,2.959837684618286
2919,t2dControlEmergeNoLab,5000,2.3749525196252215,4.44682620951952e-40,2.081552747332165,2.7097076822594324
2920,t2dControlEmergeNoLab,5000,2.69993003614799,3.5589197517878726e-53,2.365865348276128,3.0811652934540863
2921,t2dControlEmergeNoLab,5000,2.9083798749414815,3.124358641127895e-59,2.540586831771449,3.3294172004610156
2922,t2dControlEmergeNoLab,5000,2.974690351746971,6.272418034342216e-61,2.5954658697064534,3.4093234636822047
2923,t2dControlEmergeNoLab,5000,3.1138169528119617,3.2196772796703457e-66,2.7159321587186125,3.569991976601402
2924,t2dControlEmergeNoLab,5000,2.798875041484991,2.5103887815714e-56,2.449679039381967,3.197848114757089
2925,t2dControlEmergeNoLab,5000,2.6977348508974366,1.1180646040430632e-50,2.3562164217101706,3.088754181784511
2926,t2dControlEmergeNoLab,5000,2.6367620873852897,9.043704302181953e-51,2.311246525947875,3.0081232042614428
2927,t2dControlEmergeNoLab,5000,2.7923487751073957,3.1934027444670873e-55,2.441348611416395,3.1938133068673373
2928,t2dControlEmergeNoLab,5000,2.7173781918102002,1.088260873495193e-53,2.380578178957383,3.101828077983848
2929,t2dControlEmergeNoLab,5000,3.0243541806978023,1.8433407767598986e-62,2.6373841478020985,3.4681023687530743
2930,t2dControlEmergeNoLab,5000,2.50411089768997,5.879265709163542e-45,2.193689832020916,2.8584585187929528
2931,t2dControlEmergeNoLab,5000,2.7992746231440555,6.941763038930534e-57,2.4516918273215476,3.1961351457205764
2932,t2dControlEmergeNoLab,5000,2.6832606100494445,9.25966963077394e-53,2.3522000255468765,3.060916343527786
2933,t2dControlEmergeNoLab,5000,2.4295078079452965,1.1764063150997983e-42,2.1307701215317687,2.7701290388960227
2934,t2dControlEmergeNoLab,5000,2.5738841338332037,2.838029907879104e-46,2.249671456664587,2.9448209047469027
2935,t2dControlEmergeNoLab,5000,2.5299071518600025,2.614141403709171e-46,2.217338694577318,2.8865370061349482
2936,t2dControlEmergeNoLab,5000,3.0528583056490346,7.334922664428173e-62,2.6568132343109174,3.5079409098124104
2937,t2dControlEmergeNoLab,5000,2.8897156088303397,3.8681151114919726e-59,2.526327907591992,3.305373096985293
2938,t2dControlEmergeNoLab,5000,2.6901027582477015,1.8557257751581914e-52,2.3563518173098528,3.071125795719962
2939,t2dControlEmergeNoLab,5000,2.559593130287507,1.9734228647879735e-46,2.2396813920108283,2.9252004396629525
2940,t2dControlEmergeNoLab,5000,2.806650787410679,3.934529413327714e-56,2.454885251428324,3.208821527560104
2941,t2dControlEmergeNoLab,5000,2.645259595789631,5.8843450298683015e-47,2.3045827421828804,3.036297287590227
2942,t2dControlEmergeNoLab,5000,2.93901825896087,4.6371680929687005e-59,2.5629467297764155,3.3702722831304874
2943,t2dControlEmergeNoLab,5000,2.587997812240488,1.403859625214198e-49,2.2711462359239607,2.949053905125027
2944,t2dControlEmergeNoLab,5000,2.704880735509065,1.765495444010187e-50,2.3608365894374583,3.0990623519061073
2945,t2dControlEmergeNoLab,5000,2.4549864795133947,8.700149917240013e-44,2.1534496531983085,2.7987460053418567
2946,t2dControlEmergeNoLab,5000,2.8126602878460947,3.9919673924390793e-56,2.4593543305682197,3.216721477054784
2947,t2dControlEmergeNoLab,5000,2.8090498072720953,4.660519158254473e-57,2.4595418761477585,3.208223814466721
2948,t2dControlEmergeNoLab,5000,2.583495294956585,2.9719290053616906e-47,2.2601401881007193,2.953112366304848
2949,t2dControlEmergeNoLab,5000,2.997767201363182,1.7077935069082585e-60,2.611346292655327,3.441369771157722
2950,t2dControlEmergeNoLab,5000,3.0933028717073507,1.3686381224111682e-63,2.6924933087562843,3.553777691849805
2951,t2dControlEmergeNoLab,5000,2.690806831435193,7.051439083471848e-51,2.3517501169024855,3.0787460589710838
2952,t2dControlEmergeNoLab,5000,2.403739562193684,7.224320260003814e-41,2.1054878980429446,2.7442398924380917
2953,t2dControlEmergeNoLab,5000,2.8606711488451744,2.7702964012730274e-56,2.4955801622386327,3.2791731340316077
