,control,samp_size,OR,p_value,ci95_lower,ci95_upper,p < .05
101,t2dControlEmergeIgnoreLabValue,2000,1.1466454845411218,0.1271804901167459,0.9663667534265737,1.3605557750786652,False
102,t2dControlEmergeIgnoreLabValue,2000,1.4067920561281624,0.00011944216207430004,1.1837022208767365,1.671927157253673,True
103,t2dControlEmergeIgnoreLabValue,2000,1.1945471808633243,0.04803515346634059,1.0051931591803778,1.4195709096070939,True
104,t2dControlEmergeIgnoreLabValue,2000,1.5876775378780397,2.153007200290683e-07,1.333256177298353,1.8906493794691004,True
105,t2dControlEmergeIgnoreLabValue,2000,1.2833010050331621,0.006270124628753522,1.0757871670207133,1.5308432002214185,True
106,t2dControlEmergeIgnoreLabValue,2000,1.0684702537024282,0.4801620166823822,0.8986908453699959,1.2703241486530532,False
107,t2dControlEmergeIgnoreLabValue,2000,1.2175959993986438,0.022417345052965186,1.031207493812582,1.4376738208818973,True
108,t2dControlEmergeIgnoreLabValue,2000,1.2018091597616278,0.03387588766566209,1.0172904941502638,1.4197962772604111,True
109,t2dControlEmergeIgnoreLabValue,2000,1.2640069089265658,0.009816024286837548,1.0609051498438766,1.5059908664306236,True
110,t2dControlEmergeIgnoreLabValue,2000,1.1492581868115466,0.12973098393054755,0.9648241647819076,1.3689482790389278,False
111,t2dControlEmergeIgnoreLabValue,2000,1.2187944426211574,0.02620502456646518,1.0269006885188054,1.4465467887715955,True
112,t2dControlEmergeIgnoreLabValue,2000,1.166612121031805,0.07918901501924477,0.9861069809944001,1.3801584079304428,False
113,t2dControlEmergeIgnoreLabValue,2000,1.180944010753244,0.06823037654478108,0.9916764785508985,1.4063344111699407,False
114,t2dControlEmergeIgnoreLabValue,2000,1.202300445060979,0.03751665589651258,1.014083489075057,1.42545103609989,True
115,t2dControlEmergeIgnoreLabValue,2000,1.4619788914963938,3.025515979504093e-05,1.224181641189999,1.7459682511684451,True
116,t2dControlEmergeIgnoreLabValue,2000,1.1695637337086344,0.08454056687725672,0.9831073714030981,1.391383451081477,False
117,t2dControlEmergeIgnoreLabValue,2000,1.227097437655326,0.022408955635558968,1.032563372854368,1.4582815554824449,True
118,t2dControlEmergeIgnoreLabValue,2000,1.2507609297177642,0.012366774514883397,1.0524837922519943,1.486391443578528,True
119,t2dControlEmergeIgnoreLabValue,2000,1.2816951789882225,0.005975578366650093,1.0764391203039463,1.5260895863556168,True
120,t2dControlEmergeIgnoreLabValue,2000,1.2768688648376543,0.005196758022564826,1.0781385465678706,1.5122305970619185,True
121,t2dControlEmergeIgnoreLabValue,2000,1.2736217905553453,0.006214829659399807,1.0735464865712196,1.5109848391924237,True
122,t2dControlEmergeIgnoreLabValue,2000,1.164254096876224,0.09349606574314034,0.9790104329159853,1.3845486794821482,False
123,t2dControlEmergeIgnoreLabValue,2000,1.2082191315137532,0.03506903172940187,1.0167596556587415,1.4357311107216104,True
124,t2dControlEmergeIgnoreLabValue,2000,1.1869428544141882,0.05222109832102663,1.0019490592037752,1.4060927815676239,False
125,t2dControlEmergeIgnoreLabValue,2000,1.3036773428232502,0.004176770272082252,1.0899138641506223,1.559365992206348,True
126,t2dControlEmergeIgnoreLabValue,2000,1.0795831434943766,0.4058780813890286,0.9093849186910156,1.2816352457162339,False
127,t2dControlEmergeIgnoreLabValue,2000,1.127333593477234,0.1872893792368221,0.9487396656745761,1.339546639571212,False
