,age,ageCount,label
82,9.0,17325,Ignore Lab Value
83,91.0,17947,Ignore Lab Value
84,98.0,7546,Ignore Lab Value
85,113.0,16,Ignore Lab Value
86,25.0,69169,Ignore Lab Value
87,15.0,30594,Ignore Lab Value
88,35.0,71255,Ignore Lab Value
89,10.0,20550,Ignore Lab Value
90,82.0,27909,Ignore Lab Value
91,114.0,5,Ignore Lab Value
92,71.0,84110,Ignore Lab Value
93,31.0,61869,Ignore Lab Value
94,49.0,127850,Ignore Lab Value
95,56.0,136355,Ignore Lab Value
96,16.0,33365,Ignore Lab Value
97,103.0,1749,Ignore Lab Value
98,2.0,5,Ignore Lab Value
99,52.0,121746,Ignore Lab Value
100,57.0,136581,Ignore Lab Value
101,70.0,87687,Ignore Lab Value
102,37.0,83389,Ignore Lab Value
103,27.0,73852,Ignore Lab Value
104,20.0,47691,Ignore Lab Value
105,67.0,99902,Ignore Lab Value
106,77.0,43174,Ignore Lab Value
107,92.0,17131,Ignore Lab Value
108,3.0,7,Ignore Lab Value
109,45.0,104012,Ignore Lab Value
110,62.0,131108,Ignore Lab Value
111,32.0,58259,Ignore Lab Value
112,79.0,33068,Ignore Lab Value
113,99.0,5699,Ignore Lab Value
114,109.0,142,Ignore Lab Value
115,5.0,8339,Ignore Lab Value
116,112.0,17,Ignore Lab Value
0,26.0,158286,Ignore Lab
1,51.0,160012,Ignore Lab
2,86.0,29771,Ignore Lab
3,76.0,60493,Ignore Lab
4,33.0,97948,Ignore Lab
5,101.0,4953,Ignore Lab
6,1.0,10,Ignore Lab
7,119.0,1,Ignore Lab
8,47.0,151662,Ignore Lab
9,81.0,40640,Ignore Lab
10,38.0,130907,Ignore Lab
11,54.0,163238,Ignore Lab
12,106.0,871,Ignore Lab
13,23.0,162366,Ignore Lab
14,4.0,24486,Ignore Lab
15,13.0,146732,Ignore Lab
16,,312,Ignore Lab
17,75.0,57070,Ignore Lab
18,68.0,105412,Ignore Lab
19,95.0,17066,Ignore Lab
20,43.0,139069,Ignore Lab
21,8.0,87695,Ignore Lab
22,18.0,157495,Ignore Lab
23,7.0,73203,Ignore Lab
24,0.0,6,Ignore Lab
25,25.0,160212,Ignore Lab
26,15.0,152418,Ignore Lab
27,35.0,110930,Ignore Lab
28,10.0,118360,Ignore Lab
29,82.0,38081,Ignore Lab
30,114.0,11,Ignore Lab
31,42.0,140072,Ignore Lab
32,17.0,154912,Ignore Lab
33,50.0,164827,Ignore Lab
34,60.0,164070,Ignore Lab
35,69.0,101589,Ignore Lab
36,85.0,32466,Ignore Lab
37,110.0,121,Ignore Lab
38,44.0,141369,Ignore Lab
39,59.0,167981,Ignore Lab
40,34.0,102231,Ignore Lab
41,84.0,34109,Ignore Lab
42,94.0,18733,Ignore Lab
43,102.0,3591,Ignore Lab
44,111.0,88,Ignore Lab
45,41.0,135848,Ignore Lab
46,9.0,102104,Ignore Lab
47,58.0,169995,Ignore Lab
48,73.0,71753,Ignore Lab
49,11.0,133612,Ignore Lab
50,24.0,161695,Ignore Lab
51,98.0,10657,Ignore Lab
52,91.0,24762,Ignore Lab
53,113.0,28,Ignore Lab
54,66.0,125925,Ignore Lab
55,53.0,159296,Ignore Lab
56,46.0,144377,Ignore Lab
57,19.0,162624,Ignore Lab
58,83.0,34712,Ignore Lab
59,36.0,117800,Ignore Lab
60,100.0,5971,Ignore Lab
61,6.0,62007,Ignore Lab
62,40.0,135927,Ignore Lab
63,72.0,95299,Ignore Lab
64,74.0,56911,Ignore Lab
65,87.0,29844,Ignore Lab
66,104.0,1824,Ignore Lab
67,65.0,135984,Ignore Lab
68,48.0,163578,Ignore Lab
69,29.0,129556,Ignore Lab
70,28.0,139639,Ignore Lab
71,55.0,170872,Ignore Lab
72,21.0,162925,Ignore Lab
73,80.0,41342,Ignore Lab
74,89.0,28568,Ignore Lab
75,96.0,14479,Ignore Lab
76,116.0,1,Ignore Lab
77,115.0,3,Ignore Lab
78,31.0,108939,Ignore Lab
79,71.0,96461,Ignore Lab
80,49.0,170546,Ignore Lab
81,56.0,171732,Ignore Lab
82,16.0,155915,Ignore Lab
83,103.0,2577,Ignore Lab
84,2.0,15,Ignore Lab
85,20.0,162274,Ignore Lab
86,67.0,116209,Ignore Lab
87,57.0,170243,Ignore Lab
88,27.0,152547,Ignore Lab
89,52.0,158365,Ignore Lab
90,37.0,126578,Ignore Lab
91,77.0,57057,Ignore Lab
92,92.0,23621,Ignore Lab
93,70.0,100424,Ignore Lab
94,3.0,16,Ignore Lab
95,62.0,157325,Ignore Lab
96,45.0,144545,Ignore Lab
97,79.0,44543,Ignore Lab
98,5.0,50535,Ignore Lab
99,32.0,98799,Ignore Lab
100,99.0,8245,Ignore Lab
101,109.0,236,Ignore Lab
102,112.0,37,Ignore Lab
103,93.0,20901,Ignore Lab
104,88.0,28819,Ignore Lab
105,61.0,160993,Ignore Lab
106,78.0,48712,Ignore Lab
107,14.0,147488,Ignore Lab
108,108.0,339,Ignore Lab
109,22.0,161263,Ignore Lab
110,63.0,150500,Ignore Lab
111,90.0,26301,Ignore Lab
112,97.0,12292,Ignore Lab
113,107.0,567,Ignore Lab
114,64.0,143362,Ignore Lab
115,39.0,135040,Ignore Lab
116,30.0,121834,Ignore Lab
117,12.0,142774,Ignore Lab
118,105.0,1310,Ignore Lab
0,19.0,118539,No Lab
1,53.0,35290,No Lab
2,36.0,40935,No Lab
3,83.0,8654,No Lab
4,100.0,1829,No Lab
5,46.0,39085,No Lab
